failure_rate,correction_budget,final_instability,latency_ms,window,min_hits,seed
0.5453,0,1.1299016666747634,1940.7627582550049,3,5,0
0.5454,0,1.1396844464532767,1941.460132598877,3,5,1
0.5441,0,1.1516490837302378,1940.3603076934814,3,5,2
0.5442,0,1.1445656680531338,1938.9686584472656,3,5,3
0.5423,0,1.1545317901997432,1942.2607421875,3,5,4
0.5419,0,1.14478884775509,1943.5017108917236,3,5,5
0.5478,0,1.1416641728957377,1941.3626194000244,3,5,6
0.5407,0,1.137692147889875,1940.047264099121,3,5,7
0.5466,0,1.151777631370351,1940.9446716308594,3,5,8
0.5448,0,1.1362450436204836,1939.415454864502,3,5,9
0.5434,0,1.1316155018792828,1939.5365715026855,3,5,10
0.5483,0,1.1474071801474637,1942.3108100891113,3,5,11
0.5453,0,1.140172903649768,1940.2875900268555,3,5,12
0.5424,0,1.1475796896846338,1941.962480545044,3,5,13
0.5445,0,1.128633212260495,1941.366195678711,3,5,14
0.5435,0,1.1459173072332363,1940.3676986694336,3,5,15
0.5444,0,1.1478609547571985,1940.6182765960693,3,5,16
0.5542,0,1.136645223567208,1942.5082206726074,3,5,17
0.5445,0,1.1374920048780897,1939.83793258667,3,5,18
0.541,0,1.13644559943635,1939.3055438995361,3,5,19
0.5469,0,1.1315825527431995,1940.178632736206,3,5,20
0.5471,0,1.1510074100974172,1938.5278224945068,3,5,21
0.5528,0,1.1456456886242063,1941.4703845977783,3,5,22
0.5429,0,1.1338726176391745,1940.784215927124,3,5,23
0.5419,0,1.1402744656430144,1939.6178722381592,3,5,24
0.5426,0,1.159158505184815,1941.441297531128,3,5,25
0.5418,0,1.1425750951714309,1939.488410949707,3,5,26
0.5476,0,1.163490971561591,1940.7155513763428,3,5,27
0.5351,0,1.1317433905203385,1939.2292499542236,3,5,28
0.5357,0,1.1355064983998606,1939.7900104522705,3,5,29
0.2536,8121980,0.613811100551107,2674.7829914093018,5,1,0
0.2633,8065412,0.6194833370116173,2672.269344329834,5,1,1
0.2556,8108399,0.611859093723133,2673.6485958099365,5,1,2
0.2561,8100535,0.6147045179153442,2671.8335151672363,5,1,3
0.2613,8089684,0.6138246402605927,2673.2985973358154,5,1,4
0.2526,8116887,0.614074717310644,2676.053762435913,5,1,5
0.264,8048040,0.6186143542164296,2673.492193222046,5,1,6
0.2584,8089619,0.6214520487055862,2671.800136566162,5,1,7
0.2625,8075484,0.6175390532430102,2671.58842086792,5,1,8
0.2571,8084215,0.609211673250338,2669.9721813201904,5,1,9
0.2632,8074912,0.6184867246700614,2671.687602996826,5,1,10
0.2619,8074616,0.6244441610351189,2672.907590866089,5,1,11
0.2606,8076957,0.6202783629273357,2671.736478805542,5,1,12
0.2629,8073256,0.6241610616196147,2671.4088916778564,5,1,13
0.2613,8090217,0.6160219683704171,2672.7042198181152,5,1,14
0.2571,8108551,0.6272773242676242,2673.5682487487793,5,1,15
0.2556,8100683,0.6118300179872566,2673.8128662109375,5,1,16
0.2631,8079919,0.614877470437383,2671.8661785125732,5,1,17
0.2664,8042427,0.6313415753109475,2671.5681552886963,5,1,18
0.2684,8049808,0.6319446742937409,2672.6632118225098,5,1,19
0.2566,8127255,0.6156714604494505,2676.300287246704,5,1,20
0.2606,8103155,0.613514285150556,2673.7093925476074,5,1,21
0.2617,8071113,0.6218405981004326,2672.813892364502,5,1,22
0.2578,8072372,0.6091385872247083,2672.7981567382812,5,1,23
0.2675,8052359,0.6293235298531501,2672.5244522094727,5,1,24
0.257,8133312,0.6172667239651694,2673.534870147705,5,1,25
0.2585,8083886,0.614430661007368,2673.5050678253174,5,1,26
0.2606,8092791,0.6112558652365188,2673.3052730560303,5,1,27
0.2566,8101814,0.6161877069522076,2674.013614654541,5,1,28
0.2551,8104485,0.6141640671138497,2673.6412048339844,5,1,29
0.2089,6283938,0.5426419097113057,2580.687999725342,5,2,0
0.2163,6227755,0.5442098670791367,2580.476999282837,5,2,1
0.2118,6249875,0.5364288073329534,2582.209348678589,5,2,2
0.2044,6275620,0.535257868890182,2582.024574279785,5,2,3
0.2104,6272082,0.5356198805354121,2580.9173583984375,5,2,4
0.1994,6302073,0.5171383069960176,2579.4947147369385,5,2,5
0.2124,6249576,0.5432006757124108,2578.990697860718,5,2,6
0.2119,6257327,0.5468760872264951,2582.1118354797363,5,2,7
0.211,6267739,0.5410530862238992,2580.023765563965,5,2,8
0.2093,6264214,0.5317422207774983,2579.4754028320312,5,2,9
0.2103,6255483,0.5315155892878668,2581.158399581909,5,2,10
0.2122,6256402,0.5387831645468257,2581.6690921783447,5,2,11
0.2119,6251291,0.5449379465888509,2580.9504985809326,5,2,12
0.2143,6234075,0.5483625546885321,2581.8519592285156,5,2,13
0.2124,6260875,0.5386475599778401,2581.669807434082,5,2,14
0.2078,6289484,0.5408460967114643,2582.5061798095703,5,2,15
0.2106,6254545,0.5431269393528273,2583.414316177368,5,2,16
0.2122,6255465,0.5376639009795587,2581.0956954956055,5,2,17
0.2134,6255433,0.542340614412944,2580.1398754119873,5,2,18
0.2072,6265715,0.5371030713930671,2580.8255672454834,5,2,19
0.2106,6272908,0.5410796549709858,2580.7645320892334,5,2,20
0.2113,6270974,0.543183915187996,2580.4457664489746,5,2,21
0.2075,6272724,0.5324960825476028,2582.719564437866,5,2,22
0.2109,6259880,0.5405130187140229,2580.8966159820557,5,2,23
0.2141,6255734,0.5490258342164394,2580.9953212738037,5,2,24
0.2046,6279996,0.5277627310263131,2580.273389816284,5,2,25
0.2025,6294943,0.5344869645157193,2582.5417041778564,5,2,26
0.2123,6265291,0.5452104078963,2580.54256439209,5,2,27
0.2057,6267678,0.5306733788291286,2580.9109210968018,5,2,28
0.2062,6279796,0.5339490761173085,2581.4318656921387,5,2,29
0.1275,3383755,0.4050854666561522,2397.0248699188232,5,3,0
0.1345,3367639,0.4104992031568575,2396.928548812866,5,3,1
0.1321,3370939,0.41148848053262854,2396.481990814209,5,3,2
0.1303,3380349,0.408495508495764,2396.502733230591,5,3,3
0.129,3377831,0.4077037080312468,2396.672010421753,5,3,4
0.1318,3375450,0.4150972732883266,2395.9028720855713,5,3,5
0.1382,3356136,0.42350295900168794,2398.7200260162354,5,3,6
0.1254,3391523,0.4068057086002296,2397.7303504943848,5,3,7
0.1296,3380815,0.41029988071434326,2397.8092670440674,5,3,8
0.131,3372341,0.41496101705299016,2397.5460529327393,5,3,9
0.1284,3375839,0.40908927500784237,2396.8045711517334,5,3,10
0.1329,3377252,0.41619035479030325,2397.512912750244,5,3,11
0.1353,3371305,0.424734217244251,2396.637201309204,5,3,12
0.1414,3347423,0.4292310691296041,2396.620750427246,5,3,13
0.1308,3377868,0.4071911899202956,2395.7016468048096,5,3,14
0.1348,3371609,0.41832294399801784,2396.1708545684814,5,3,15
0.1284,3378384,0.4123721596678897,2397.491931915283,5,3,16
0.1356,3367546,0.41867592918557,2397.127151489258,5,3,17
0.1334,3370344,0.4162569042557578,2395.4973220825195,5,3,18
0.1331,3369047,0.4149473706815301,2395.191192626953,5,3,19
0.1292,3374144,0.41602871279444187,2396.6267108917236,5,3,20
0.1291,3378570,0.41449815981127996,2396.968126296997,5,3,21
0.1403,3356657,0.42698775101864866,2396.62766456604,5,3,22
0.1271,3384578,0.40729495609192434,2397.366523742676,5,3,23
0.1342,3365517,0.4217614784551579,2396.9080448150635,5,3,24
0.1312,3378989,0.4151121238735629,2398.8890647888184,5,3,25
0.1299,3379188,0.4107473544951437,2399.0328311920166,5,3,26
0.1395,3355342,0.4217681462524397,2398.592472076416,5,3,27
0.136,3369737,0.4162917452641583,2398.8592624664307,5,3,28
0.1274,3376919,0.4072659385099372,2395.1950073242188,5,3,29
0.0761,1127770,0.33411785931862614,2129.319906234741,5,4,0
0.0833,1114299,0.34562824834721234,2128.5083293914795,5,4,1
0.0808,1118343,0.3399193180398046,2128.883123397827,5,4,2
0.0774,1122245,0.33803283447407634,2129.378080368042,5,4,3
0.074,1123280,0.329809766757628,2127.087354660034,5,4,4
0.0752,1121299,0.3359796425835099,2128.74698638916,5,4,5
0.0773,1119900,0.3352932947883602,2126.925468444824,5,4,6
0.0751,1123555,0.33340842216322425,2128.570318222046,5,4,7
0.0756,1123677,0.3331685849601532,2127.0861625671387,5,4,8
0.0773,1121231,0.3354368697187126,2129.7762393951416,5,4,9
0.0778,1121945,0.3377466624127598,2130.1751136779785,5,4,10
0.0821,1120762,0.34264345203391816,2131.3798427581787,5,4,11
0.0817,1119787,0.3413084548359491,2129.5855045318604,5,4,12
0.075,1122506,0.33275688100629514,2129.673719406128,5,4,13
0.0746,1123528,0.332354311812751,2129.5793056488037,5,4,14
0.0741,1125047,0.33137713243946504,2130.1589012145996,5,4,15
0.0799,1121017,0.34060445041528875,2129.8723220825195,5,4,16
0.0808,1120875,0.34202569098616775,2130.970001220703,5,4,17
