mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
event_gated_no_cooccurrence,5,5000,1000,0,0.0,0.7528661613576599,0.11613044091574114,1503212.0,999,623.5773139924277,0.0002
event_gated_no_cooccurrence,6,5000,1000,0,0.0,0.8512325647882595,0.11629341804223009,1502838.0,999,623.4656309970887,0.0008
event_gated_no_cooccurrence,7,5000,1000,0,0.0,0.8468041996670362,0.11882037361038819,1500488.0,999,623.817091996898,0.0004
event_gated_no_cooccurrence,8,5000,1000,0,0.0,1.0551460790319582,0.11799865730387406,1501688.0,999,637.646538001718,0.0006
event_gated_no_cooccurrence,9,5000,1000,0,0.0,0.8106980677337879,0.11601557894740777,1503018.0,999,623.5804480093066,0.0002
event_gated_no_cooccurrence,10,5000,1000,0,0.0,0.821729341926886,0.11636312345886374,1502914.0,999,623.8846439955523,0.0002
event_gated_no_cooccurrence,11,5000,1000,0,0.0,0.8321920118428763,0.12025404291313811,1502373.0,999,624.1793380031595,0.0006
event_gated_no_cooccurrence,12,5000,1000,0,0.0,0.966486535456123,0.11878930598356992,1501136.0,999,624.2016409960343,0.0002
event_gated_no_cooccurrence,13,5000,1000,0,0.0,1.2006207690318134,0.11875088307083125,1501792.0,999,623.9012839942006,0.0008
event_gated_no_cooccurrence,14,5000,1000,0,0.0,0.8890689114035396,0.11866678171558706,1500215.0,999,624.5972309989156,0.0006
event_gated_no_cooccurrence,15,5000,1000,0,0.0,0.7286255054177048,0.11694623668938434,1501290.0,999,624.8150579922367,0.0
event_gated_no_cooccurrence,16,5000,1000,0,0.0,0.9396900879967504,0.11549922676251721,1500785.0,999,624.8195380030666,0.0004
event_gated_no_cooccurrence,17,5000,1000,0,0.0,1.2635381368162448,0.12107829401515946,1502754.0,999,624.5674370002234,0.001
event_gated_no_cooccurrence,18,5000,1000,0,0.0,0.881173664720865,0.11730448213198998,1501327.0,999,625.3809219924733,0.001
event_gated_no_cooccurrence,19,5000,1000,0,0.0,0.7603861424493897,0.11860548338766722,1502115.0,999,624.5378040039213,0.0004
event_gated_no_cooccurrence,20,5000,1000,0,0.0,0.7552427248526976,0.11822166294939707,1501069.0,999,624.3878170062089,0.0002
